;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;Amundi ETF;;;;;
;;;;;;
;NAV STORICHE;;;;;
;;;;;;
;Nome del fondo;Amundi Stoxx Europe 600 UCITS ETF Acc;;;;
;Codice ISIN;LU0908500753;;;;
;Indice;STOXX Europe 600 (Net Return) EUR;;;;
;Metodologia di Replica;Physical;;;;
;Valuta di riferimento;EUR;;;;
;;;;;;
;Data di fusione;08/02/2024;;;;
;Data di aggiornamento;22/05/2025;;;;
;;;;;;
;Data di inizio periodo;03/04/2013;;;;
;Data di fine periodo;22/05/2025;;;;
;;;;;;
;Dati ritenuti esatti al 22/05/2025. Si prega di fare riferimento al sito per le ultime informazioni diponibili.;;;;;
;;;;;;
;Si ricorda che i rendimenti passati non sono indicativi né costituiscono una garanzia di risultati futuri. Eventuali guadagni o perdite non tengono conto delle spese, delle commissioni e dei potenziali oneri a carico dell'investitore (quali imposte, commissioni di negoziazione o di altro tipo prelevate dall'intermediario finanziario, etc.).;;;;;
;;;;;;
;Data;NAV ufficiale;Attivi in gestione (mln);;;
;19/04/2024; 228.14;7320237 923.30;;;
;18/04/2024; 228.30;7323556 028.56;;;
;17/04/2024; 227.70;7304076 336.96;;;
;16/04/2024; 227.53;7298772 211.39;;;
;15/04/2024; 231.02;7409765 951.89;;;
;12/04/2024; 230.71;7399864 680.03;;;
;11/04/2024; 230.35;7386945 908.96;;;
;10/04/2024; 231.15;7333285 488.22;;;
;09/04/2024; 230.79;7321616 337.26;;;
;08/04/2024; 232.13;7363529 135.00;;;
;05/04/2024; 231.04;7326418 226.64;;;
;04/04/2024; 232.99;7384527 796.68;;;
;03/04/2024; 232.58;7371633 526.81;;;
;02/04/2024; 231.92;7334673 431.28;;;
;28/03/2024; 233.77;7393256 024.52;;;
;27/03/2024; 233.24;7376569 117.62;;;
;26/03/2024; 232.89;7365566 344.86;;;
;25/03/2024; 232.33;7347699 980.83;;;
;22/03/2024; 232.20;7342378 289.32;;;
;21/03/2024; 232.14;7340408 788.06;;;
;20/03/2024; 229.98;7271804 222.48;;;
;19/03/2024; 229.91;7269789 095.90;;;
;18/03/2024; 229.35;7252105 271.23;;;
;15/03/2024; 229.76;7264888 032.17;;;
;14/03/2024; 230.49;7288033 701.04;;;
;13/03/2024; 230.79;7297335 935.24;;;
;12/03/2024; 230.43;7286067 690.83;;;
;11/03/2024; 228.14;7213592 440.19;;;
;08/03/2024; 228.95;7239064 960.00;;;
;07/03/2024; 228.88;7237107 425.00;;;
;06/03/2024; 226.35;7156919 010.69;;;
;05/03/2024; 225.45;7128531 931.82;;;
;04/03/2024; 225.99;7116451 085.35;;;
;01/03/2024; 226.08;7119235 556.88;;;
;29/02/2024; 224.73;7076605 688.44;;;
;28/02/2024; 224.69;7075381 607.42;;;
;27/02/2024; 225.48;7100262 281.34;;;
;26/02/2024; 225.05;7086908 871.75;;;
;23/02/2024; 225.89;7113233 951.96;;;
;22/02/2024; 224.90;7081926 262.85;;;
;21/02/2024; 222.95;7020743 839.17;;;
;20/02/2024; 223.31;7032048 354.25;;;
;19/02/2024; 223.53;7038696 267.66;;;
;16/02/2024; 223.16;7027356 707.40;;;
;15/02/2024; 221.80;6984210 416.64;;;
;14/02/2024; 220.23;6934796 035.93;;;
;13/02/2024; 219.13;6900341 067.01;;;
;12/02/2024; 221.23;6966315 981.97;;;
;09/02/2024; 220.00;6927449 583.99;;;
;08/02/2024; 220.27;6935925 102.82;;;
;07/02/2024; 220.42;6940806 395.06;;;
;06/02/2024; 220.93;6956906 634.80;;;
;05/02/2024; 219.56;6913661 025.32;;;
;02/02/2024; 219.67;6917025 931.10;;;
;01/02/2024; 219.62; 0.00;;;
;31/01/2024; 220.44; 0.00;;;
;30/01/2024; 220.42;6940738 499.33;;;
;29/01/2024; 220.06;6929208 335.82;;;
;26/01/2024; 219.62;6915529 838.15;;;
;25/01/2024; 217.16;6838226 061.75;;;
;24/01/2024; 216.52;6816844 352.35;;;
;23/01/2024; 214.01;6737974 250.32;;;
;22/01/2024; 214.60;6756746 053.14;;;
;19/01/2024; 212.91;6703386 611.09;;;
;18/01/2024; 213.46;6720582 230.43;;;
;17/01/2024; 212.18;6680547 903.45;;;
;16/01/2024; 214.64;6757755 652.46;;;
;15/01/2024; 215.16;6774233 885.47;;;
;12/01/2024; 216.32;6810738 750.83;;;
;11/01/2024; 214.53;6754340 956.32;;;
;10/01/2024; 216.19;6752572 543.32;;;
;09/01/2024; 216.58;6760222 976.64;;;
;08/01/2024; 216.96;6772236 424.71;;;
;05/01/2024; 216.14;6746553 226.75;;;
;04/01/2024; 216.73;6765107 027.96;;;
;03/01/2024; 215.25;6718866 331.80;;;
;02/01/2024; 217.13;6777696 879.03;;;
;29/12/2023; 217.33;6783748 525.26;;;
;28/12/2023; 216.94;6771608 859.55;;;
;27/12/2023; 217.19;6779489 151.78;;;
;22/12/2023; 216.72;6764955 093.98;;;
;21/12/2023; 216.42;6755529 790.94;;;
;20/12/2023; 216.84;6768863 059.13;;;
;19/12/2023; 216.43;6755834 463.06;;;
;18/12/2023; 215.64;6693712 045.78;;;
;15/12/2023; 216.24;6634703 472.45;;;
;14/12/2023; 216.23;6599276 672.04;;;
;13/12/2023; 214.32;6517356 390.36;;;
;12/12/2023; 214.44;6502040 917.21;;;
;11/12/2023; 214.88;6478507 963.57;;;
;08/12/2023; 214.22;6458762 684.92;;;
;07/12/2023; 212.65;6377801 467.60;;;
;06/12/2023; 213.22;6394610 470.90;;;
;05/12/2023; 212.09;6360839 558.66;;;
;04/12/2023; 211.24;6335578 903.31;;;
;01/12/2023; 211.38;6339750 535.43;;;
;30/11/2023; 209.30;6277527 879.57;;;
;29/11/2023; 208.16;6243385 566.63;;;
;28/11/2023; 207.21;6215007 071.57;;;
;27/11/2023; 207.83;6233734 623.25;;;
;24/11/2023; 208.52;6254465 724.45;;;
;23/11/2023; 207.82;6233560 549.39;;;
;22/11/2023; 207.21;6215164 017.36;;;
;21/11/2023; 206.57;6195953 555.75;;;
;20/11/2023; 206.77;6202039 133.48;;;
;17/11/2023; 206.50;6191354 498.27;;;
;16/11/2023; 204.42;6051168 316.20;;;
;15/11/2023; 205.81;6092325 038.59;;;
;14/11/2023; 204.93;6066163 735.76;;;
;13/11/2023; 202.15;5984209 626.42;;;
;10/11/2023; 200.66;5939939 822.59;;;
;09/11/2023; 202.71;6000586 338.75;;;
;08/11/2023; 200.93;5947989 879.99;;;
;07/11/2023; 200.37;5931163 671.16;;;
;06/11/2023; 200.69;5928679 011.70;;;
;03/11/2023; 201.02;5938365 316.99;;;
;02/11/2023; 200.64;5927399 190.75;;;
;01/11/2023; 197.47;5833649 860.10;;;
;31/10/2023; 196.16;5794957 856.77;;;
;30/10/2023; 194.96;5759411 864.14;;;
;27/10/2023; 194.27;5739165 814.68;;;
;26/10/2023; 195.90;5787134 914.30;;;
;25/10/2023; 196.84;5814774 289.45;;;
;24/10/2023; 196.75;5812294 415.26;;;
;23/10/2023; 195.91;5787318 908.33;;;
;20/10/2023; 196.15;5794466 160.15;;;
;19/10/2023; 198.90;5875556 928.88;;;
;18/10/2023; 201.26;5945253 804.17;;;
;17/10/2023; 203.41;6008845 271.73;;;
;16/10/2023; 203.61;6014754 103.56;;;
;13/10/2023; 203.14;6000834 186.48;;;
;12/10/2023; 205.17;6060833 587.54;;;
;11/10/2023; 204.95;6054400 141.86;;;
;10/10/2023; 204.66;6045803 690.82;;;
;09/10/2023; 200.72;5929499 351.46;;;
;06/10/2023; 201.27;5945743 226.41;;;
;05/10/2023; 199.62;5896979 390.33;;;
;04/10/2023; 199.05;5854366 409.87;;;
;03/10/2023; 199.31;5780281 434.24;;;
;02/10/2023; 201.53;5844648 468.50;;;
;29/09/2023; 203.65;5885790 419.06;;;
;28/09/2023; 202.83;5858374 440.26;;;
;27/09/2023; 202.05;5835902 692.18;;;
;26/09/2023; 202.41;5835896 260.85;;;
;25/09/2023; 203.66;5871850 824.04;;;
;22/09/2023; 204.94;5908760 775.52;;;
;21/09/2023; 205.56;5926776 660.64;;;
;20/09/2023; 208.25;6004176 408.67;;;
;19/09/2023; 206.30;5947852 690.87;;;
;18/09/2023; 206.40;5950700 065.21;;;
;15/09/2023; 208.76;6018623 400.22;;;
;14/09/2023; 208.27;6004450 763.44;;;
;13/09/2023; 205.13;5914162 943.79;;;
;12/09/2023; 205.80;5933240 624.84;;;
;11/09/2023; 206.18;5944143 021.49;;;
;08/09/2023; 205.48;5924071 726.61;;;
;07/09/2023; 205.04;5911272 449.89;;;
;06/09/2023; 205.33;5919702 975.62;;;
;05/09/2023; 206.50;5953353 612.11;;;
;04/09/2023; 206.98;5967318 919.29;;;
;01/09/2023; 207.05;5969339 281.41;;;
;31/08/2023; 207.08;5970216 469.58;;;
;30/08/2023; 207.46;5981159 271.09;;;
;29/08/2023; 207.77;5990034 951.17;;;
;28/08/2023; 205.77;5932470 715.49;;;
